-988	-531	-1854	-1807	-94	-31	-1263	126	-1236	1861	1449	1915	905	-1867	-205	1439	-1697
-144	106	-368	-312	765	1800	-1920	368	-361	-1318	-912	-209	-1503	-1296	553	-601	-1070
489	-1578	286	900	1107	1746	-1204	1271	1252	-551	-1198	1798	931	-387	-897	-526	1595
1055	-1942	-153	-444	174	1279	-158	1496	-115	3	-925	1705	-152	-406	520	1585	-1893
1371	335	1377	-1818	-1284	-764	-926	-134	-455	418	-1057	204	1784	-594	-1886	-1581	1326
-202	-499	-1394	1288	1371	1254	-112	-1328	-33	-1478	1977	-153	589	-1198	1939	-327	-1364
-1131	-695	13	202	1706	753	-1854	-958	341	903	1359	-870	1416	-605	1836	-1039	1990
-913	-343	-779	-1245	-344	834	371	258	852	1053	-1624	-298	-1655	-1644	-1250	-1442	-588
1598	-1840	1309	492	-1074	1892	888	16	1581	-992	1986	347	-1328	381	948	-1636	-890
-799	816	-917	-1864	-770	451	103	-1482	491	-326	981	-1659	1714	-1114	-1965	1678	442
-1211	-1336	-335	1916	49	-1394	-1440	1425	568	1214	1680	-1374	-1988	1114	-425	-249	895
-277	497	964	-446	1476	-416	-1568	-505	1862	1996	-914	-952	1277	-1710	-96	480	456
-1875	1409	966	-107	-1797	1692	-1375	1541	-1235	-1511	-883	-957	1152	1737	984	-259	1130
1682	1850	1780	1660	119	543	-1867	-315	-941	707	-1639	866	-36	186	-1089	-82	-1640
68	1362	-1094	-188	80	1676	-1025	824	-1595	-1827	-178	-723	-1197	-1149	-756	-1874	719
581	1039	1772	992	-1296	817	-478	351	-251	1191	72	1623	447	1661	98	-816	-753
-1903	216	-181	-1107	-998	-379	-1375	-440	-1281	1816	1410	887	511	262	231	784	921
1415	-1168	1500	-1775	-235	-694	868	-1304	-1670	-1369	1993	-996	623	-556	-74	-1696	1890
32	-1686	1119	-870	1824	1220	127	1324	-465	-1899	175	770	-1789	363	-1561	602	141
-918	751	-1985	506	1559	-42	-591	719	-744	-1902	-774	-195	-689	-1083	-1537	1754	845
1162	1125	1204	-301	1065	54	-1135	-1229	247	866	1772	1043	1358	611	-931	-563	1012
869	931	835	1766	121	-374	-1898	391	-1740	1031	125	-927	-868	-532	-1678	61	395
-1370	1445	907	1441	58	-1128	-165	-560	1674	-1250	-268	-926	554	138	-801	-1048	-105
1310	-854	560	793	1576	1700	1720	-1322	-1604	-874	-962	1121	-1866	8	749	-726	-1696
-1298	-1691	-844	1581	1840	-117	-878	1176	997	1961	1022	-657	-84	-794	-193	-1006	-1595
-1279	-1945	1943	-1202	-1869	1492	-485	1100	1338	212	-430	-1561	-1744	-1836	-484	-1779	929
945	1226	-1036	-153	1806	1550	1559	961	611	297	-1452	1824	-1927	1077	-1944	-505	-427
96	-482	590	1736	1495	-614	-349	1290	-1761	-109	-1590	-900	1421	-682	196	-321	284
1207	593	1630	-443	1633	621	-1112	-1936	-4	1098	232	805	758	-1048	-1428	1280	-633
32	-152	710	172	693	-790	1521	-842	-549	1839	542	1175	826	562	-574	177	-1284
670	-1830	-245	1403	-1314	-1594	889	508	-586	675	394	1219	-1493	-1199	1712	-1556	-1904
-386	235	945	-405	304	1414	519	-1573	611	-833	824	-149	-819	1630	1078	-1858	-1596
-853	-322	250	-562	-286	1712	-1116	-1586	1180	-38	-1789	1908	1293	1267	875	762	-436
